id,validity,bundlename,bundle,bundleCode,bundleAmount,vendorName,productCode
32c93ec5-7588-4230-ac83-ff6cecaa8685, 4GB+2GB YouTube Night+200MB YouTube Music + 10mins. ,"""MTN D-MFIN-5-195 for 4GB+2GB YouTube Night+200MB YouTube Music + 10mins.""",MTN 2000  4GB+2GB YouTube Night+200MB YouTube Music + 10mins. ,MTN046,2000,IRECHARGE,TCMTNVD
"fda91e03-e21d-46d4-a91c-57643f07d590, 5909911d-76e0-4d12-b21d-ab12b82488a7, 9e0f976c-ed94-4deb-8ad0-7ebc2b5bf894", Data Plan 200MB 3-Day Plan ,"""MTN D-MFIN-5-192 for Data Plan 200MB 3-Day Plan""",MTN 200  Data Plan 200MB 3-Day Plan ,MTN047,200,"IRECHARGE, BAXI, BUYPOWERNG",TCMTNVD
9906cd88-5b54-4a44-9d77-9dd24ab37934, 1.2GB Monthly Plan + FREE 2GB for YouTube and 200MB for YouTube Music + 5mins. ,"""MTN D-MFIN-5-15AD for 1.2GB Monthly Plan + FREE 2GB for YouTube and 200MB for YouTube Music + 5mins.""",MTN 1000  1.2GB Monthly Plan + FREE 2GB for YouTube and 200MB for YouTube Music + 5mins. ,MTN048,1000,IRECHARGE,TCMTNVD
"a7897d95-73da-40af-b275-f7b5e3f550d2, 255afa27-abfb-4d4e-82c3-2e13348c55f2", 27GB Monthly Plan + 25mins. ,"""MTN D-MFIN-5-1596 for 27GB Monthly Plan + 25mins.""",MTN 6500  27GB Monthly Plan + 25mins. ,MTN049,6500,"IRECHARGE, BUYPOWERNG",TCMTNVD
"b8820930-4764-4c6a-a0b1-2e5464e7b56b, 50b9c989-3532-4996-8994-b9ad7a9c7893", 22GB Monthly Plan + 25mins. ,"""MTN D-MFIN-5-1595 for 22GB Monthly Plan + 25mins.""",MTN 5500  22GB Monthly Plan + 25mins. ,MTN050,5500,"IRECHARGE, BUYPOWERNG",TCMTNVD
"c9f49f8f-4c15-46ca-9b99-3f2c4e8a5a16, 162daf21-8429-4073-84a6-120ac282d201", 13GB Monthly Plan + 25mins. ,"""MTN D-MFIN-5-1594 for 13GB Monthly Plan + 25mins.""",MTN 4000  13GB Monthly Plan + 25mins. ,MTN051,4000,"IRECHARGE, BUYPOWERNG",TCMTNVD
"b02848b4-6ee1-43e8-a9b6-b12381e29013, 0e1e9334-907f-4d39-88e3-b39ad0540ae7", 11GB Monthly Plan + 20mins. ,"""MTN D-MFIN-5-1593 for 11GB Monthly Plan + 20mins.""",MTN 3500  11GB Monthly Plan + 20mins. ,MTN052,3500,"IRECHARGE, BUYPOWERNG",TCMTNVD
"c21df0e2-b77c-4e02-b112-8849e0625c73, 199e61b8-a137-4633-b5f7-65e69bffc2df, 126f64c5-55d5-44c6-a3d1-5bb3c961bae8", 1.5GB+2.4GB YouTube Night+3hr-200MB-YouTube Weekly + 5mins. ,"""MTN D-MFIN-5-153 for 1.5GB+2.4GB YouTube Night+3hr-200MB-YouTube Weekly + 5mins.""",MTN 1200  1.5GB+2.4GB YouTube Night+3hr-200MB-YouTube Weekly + 5mins. ,MTN053,1200,"IRECHARGE, BAXI, BUYPOWERNG",TCMTNVD
6836ccc5-8c33-44f0-a325-2db2ce63b929, 35GB SME Monthly Plan ,"""MTN D-MFIN-5-13500 for 35GB SME Monthly Plan""",MTN 13500  35GB SME Monthly Plan ,MTN054,13500,IRECHARGE,TCMTNVD
"0b55f613-0d2c-4825-9fb4-ca191263c654, 6f588236-6f62-4a09-9e76-6ed3fc21042d", 150GB ,"""150GB for 90Days""",MTN 50000  150GB ,MTN055,50000,"BAXI, BUYPOWERNG",TCMTNVD
