HTTP Code,vend_code,Response Code,Category,message,Description,AccuvendMasterResponseCode,Accuvend Description,Request,vendor
,,PROG0001,Programming error on the platform. (Should contact CDL support),,,-1,"requires a requery  vendor error",Vend token,Baxi
,,PROG0002,Programming error on the platform. (Should contact CDL support),,,-1,"requires a requery  vendor error",Vend token,Baxi
,,PROG0003,Programming error on the platform. (Should contact CDL support),,,-1,"requires a requery  vendor error",Vend token,Baxi
,,SEC00001,Bad credentials,,,-1,"requires a requery user account error",Vend token,Baxi
,,SEC00002,The user account has expired.,,,-1,"requires a requery user account error",Vend token,Baxi
,,SEC00003,User credentials have expired.,,,-1,"requires a requery user account error",Vend token,Baxi
,,SEC00004,The user is not active.,,,-1,"requires a requery user account error",Vend token,Baxi
,,SEC00005,The user is blocked.,,,-1,"requires a requery user account error",Vend token,Baxi
,,SEC00100,Unknown authentication error. (Should contact CDL support),,,-1,"requires a requery  biller error  support required",Vend token,Baxi
,,EXC00102,Not enough funds were available to complete the exchange.,,,-1,"requires a requery  insufficient funds",Vend token,Baxi
,,EXC00103,The requested service is not active. (Should resolve through API),,,-1,Requires a requery,Vend token,Baxi
,,EXC00105,The balance could not be obtained. (Should resolve through API),,,-1,Requires a requery,Vend token,Baxi
,,EXC00107,The cancellation of the exchange was rejected by the provider. (Should contact CDL support),,,-1,"requires a requery  biller error",Vend token,Baxi
,,EXC00109,The service is blocked. (Should resolve through API),,,-1,Requires a requery,Vend token,Baxi
,,EXC00112,The query of exchange failed because the exchange was never registered on the platform.,,,-1,Requires a requery,Vend token,Baxi
,,EXC00113,The exchange is already canceled by the provider.,,,-1,"Requires a requery  vendor error",Vend token,Baxi
,,EXC00114,The exchange is still pending. (Should resolve through API),,,-1,Requires a requery,Vend token,Baxi
,,EXC00115,The exchange was not sent to the provider.,,,-1,"Requires a requery  vendor error",Vend token,Baxi
,,EXC00116,The exchange request was already registered on the platform with the same ID but with different values. (Should check client implementation),,,-1,"Requires a requery  vendor error",Vend token,Baxi
,,EXC00117,There was an error while calculating commissions. (Must contact CDL support immediately),,,-1,"Requires a requery  vendor error",Vend token,Baxi
,,EXC00118,The sent service fee is invalid.,,,-1,"Requires a requery  vendor error",Vend token,Baxi
,,EXC00119,The payment collector code is not recognized. (Should check client implementation),,,,"failure  vendor service",Vend token,Baxi
,,EXC00123,Service is not allowed.,,,,"failure  vendor service",Vend token,Baxi
,,EXC00124,The provider platform did not respond in a timely manner. (Should resolve through API),,,-1,Requires a requery,Vend token,Baxi
,,EXC00125,The exchange request is not valid.,,,,,Vend token,Baxi
,,EXC00126,The cancellation failed. (Must be resolved through 'query' API call),,,-1,Requires a requery,Vend token,Baxi
,,EXC00127,The exchange amount is too high.,,,-1,"Requires a requery  vendor amount limit",Vend token,Baxi
,,EXC00130,Payment method not recognized. (Should check client implementation),,,-1,"requires a requery  payment error",Vend token,Baxi
,,EXC00131,The exchange request is not allowed at the moment.,,,-1,"Requires a requery  exchange request not available at the moment",Vend token,Baxi
,,EXC00144,Platform is not available to receive new requests for exchange at the moment.,,,-1,Requires a requery,Vend token,Baxi
,,UNK0001,,,,-1,Requires a requery,Vend token,Baxi
,,EXC00001,,,,-1,Requires a requery,Vend token,Baxi
,,BX0001,Connection Timeout: Retried 3 times and no response from the service provider,,,-1,Requires a requery,Requery,Baxi
,,BX0002,Transaction does not exist,,,0,No transaction,Requery,Baxi
,,BX0003,Invalid request parameters data,,,-1,Requires a requery,Requery,Baxi
,,BX0004,An In-valid user account in authorization headers sent,,,-1,Requires a requery,Requery,Baxi
,,BX0005,"Baxi request date is too old use the current GMT date.",,,-1,Requires a requery,Requery,Baxi
,,BX0006,Hash Signature does not match request data sent.,,,-1,Requires a requery,Requery,Baxi
,,BX0007,Unidentified User Account,,,-1,Requires a requery,Requery,Baxi
,,BX0008,The request coming from an untrusted source,,,-1,Requires a requery,Requery,Baxi
,,BX0009,Client not permitted to access user data,,,-1,Requires a requery,Requery,Baxi
,,BX0010,The agent does not exist,,,-1,Requires a requery,Requery,Baxi
,,BX0011,"Invalid Bearer String expected keyword Baxi or API key",,,-1,Requires a requery,Requery,Baxi
,,BX0012,Authentication/Authorization mechanism not implemented,,,-1,Requires a requery,Requery,Baxi
,,BX0013,Bearer Token not provided,,,-1,Requires a requery,Requery,Baxi
,,BX0014,Token has expired.,,,-1,Requires a requery,Requery,Baxi
,,BX0015,Invalid token supplied,,,-1,Requires a requery,Requery,Baxi
,,BX0016,"Token has been blacklisted,",,,-1,Requires a requery,Requery,Baxi
,,BX0017,Server Error: Unable to retrieve property,,,-1,Requires a requery,Requery,Baxi
,,BX0018,"Request route not found,",,,-1,Requires a requery,Requery,Baxi
,,BX0019,"Request status unknown Connection Timeout",,,-1,Requires a requery,Requery,Baxi
,,BX0020,An error occurred during transaction or request processing,,,-1,Requires a requery,Requery,Baxi
,,BX0021,Transaction status unknown: Please query to confirm final status,,,-1,Requires a requery,Requery,Baxi
,,BX0022,requires a requery from the service provider,,,-1,Requires a requery,Requery,Baxi
,,BX0023,Duplicate Agent Transaction Reference,,,-1,Requires a requery,Requery,Baxi
